APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
DE CERGY NEUVILLE (SYND MIXTE D'ETUDE AMENA GEST BASE LOISI),95800,CERGY,Urgent_Améliorer, Autres,45.88368247734546,1.8146273876131076,1,0,0,0,0,0,0
CODIPEX (CONSORTIUM EUROPE ECHANG COMMERC INTERNA),92160,ANTONY,Très satisfaisant, Autres,48.732041,2.305533,1,1,0,0,0,0,0
MUSEE DE LA RENAISSANCE CHATEAU D'ECOUEN,95440,ECOUEN,Satisfaisant, Autres,49.017271,2.380653,1,0,0,0,0,0,0
SOCIETE BISCUITERIE ERTE,78610,LE PERRAY EN YVELINES,Urgent_Améliorer, Autres,48.703268,1.855354,1,0,0,0,0,0,0
SOCIETE CAPOCCI,78000,VERSAILLES,Satisfaisant, Autres,48.797148,2.127159,1,0,0,0,0,0,0
ETABLISSEMENTS MICHEL COME,78120,RAMBOUILLET,Urgent_Améliorer, Autres,48.655074,1.851631,1,0,0,0,0,0,0
GAMM-VERT (VERTDIS),95570,VILLAINES SOUS BOIS,Satisfaisant, Autres,45.88368247734546,1.8146273876131076,0,0,0,0,0,0,0
RIEM BECKER,92230,GENNEVILLIERS,Urgent_Améliorer, Autres,48.919827,2.306486,1,1,0,0,0,0,0
MONSIEUR LILIAN CEBE,84850,TRAVAILLAN,Très satisfaisant, Autres,44.177738,4.899962,0,0,1,1,0,0,0
CROAS HIR BAR,29400,PLOUGOURVEST,Urgent_Améliorer, Autres,48.577854,-4.047733,1,0,0,0,0,0,0
INTERMARCHE (AUDASC),62180,RANG DU FLIERS,Urgent_Améliorer, Autres,50.432329,1.608503,0,0,0,0,0,0,0
MAREE DU COMTAT VENAISSIN (LAFONT ET FILS),84500,BOLLENE,Très satisfaisant, Autres,44.2768,4.769566,1,0,0,0,0,0,0
ZABE EVELYNE ET NICOLAS GILLES,88000,DEYVILLERS,Très satisfaisant, Autres,48.198395,6.521234,1,0,0,0,0,0,0
L'AZOU ROCH ARMOR (ROCH ARMOR),29430,PLOUESCAT,Très satisfaisant, Autres,48.656433,-4.177194,1,0,0,0,0,0,0
INTERMARCHE (BAGUYLED),38260,LA COTE SAINT ANDRE,Satisfaisant, Autres,45.39229,5.25282,1,1,0,0,0,0,0
Restaurant LES BELLES LETTRES (SOCIETE GESTION HOTELIERE PARIS SACLAY),91400,SACLAY,Très satisfaisant, Autres,45.88368247734546,1.8146273876131076,1,0,0,1,0,0,0
CARON PHILIPPE,92110,CLICHY,Satisfaisant, Autres,48.902511,2.310235,0,0,0,0,0,0,0
SOFRABRICK,95500,GONESSE,Satisfaisant, Autres,48.990804,2.434511,1,1,0,0,0,0,0
SPAR (SERRADIS),38120,SAINT EGREVE,Satisfaisant, Autres,45.234774,5.674706,1,0,0,0,0,0,0
AUBERGE D'ARGONNAY (SARL C S M L),74370,ARGONAY,Satisfaisant, Autres,45.944668,6.140037,1,1,0,1,0,0,0
GOURMANDISES,78390,BOIS D ARCY,Satisfaisant, Autres,48.799351,2.042233,1,1,0,0,0,0,0
FRULEG IMPORT (SARL LE MEKTOUB),38130,ECHIROLLES,Urgent_Améliorer, Autres,45.154731,5.708962,1,0,0,0,0,0,0
KEBICHE - LE FLORE,92800,PUTEAUX,Satisfaisant, Autres,48.882863,2.240906,1,0,0,0,0,0,0
MERCURE PARIS MASSY GARE TGV (SOC D'INVESTISSEMENT MULTIMARQUES SIM),91300,MASSY,Très satisfaisant, Autres,48.726834,2.26554,1,1,0,0,0,0,0
POISSONNERIE POINT DU JOUR (DA CONCEICAO OLIVEIRA ILDERICO),92100,BOULOGNE BILLANCOURT,Très satisfaisant, Autres,48.829235,2.24835,1,0,0,0,0,0,0
INTERMARCHE (DOMUGUES),38300,DOMARIN,Satisfaisant, Autres,45.590495,5.24244,1,0,0,0,0,1,0
CASINO (JC DISTRIBUTION),62840,LAVENTIE,Urgent_Améliorer, Autres,50.625773,2.772641,1,0,0,0,0,0,0
BARRY CALLEBAUT FRANCE SAS,78250,HARDRICOURT,Très satisfaisant, Autres,49.002833,1.897181,0,0,1,0,1,0,0
MINOTERIE DEGRANGE (MINOTERIE DEGRANGE),73370,LE BOURGET DU LAC,Très satisfaisant, Autres,45.641834,5.8588,0,0,0,0,0,0,0
HYPER-U (CASTELDIS),35410,CHATEAUGIRON,Très satisfaisant, Autres,48.041361,-1.516692,1,0,0,0,0,0,0
SOCIETE TRIOMPHE SNAT,92300,LEVALLOIS PERRET,Très satisfaisant, Autres,48.897328,2.288035,1,0,0,0,0,0,0
ADDL,50190,PERIERS,Très satisfaisant, Autres,49.183252,-1.39371,1,0,0,0,0,1,0
LE COMPTOIR DU NIL,92110,CLICHY,Très satisfaisant, Autres,48.901044,2.314891,1,0,0,0,0,0,0
VALOIS PASCAL,78830,BONNELLES,Très satisfaisant, Autres,48.616606,2.028709,0,0,0,0,0,0,0
LA VILLA DU LAC  (SAS RIVE EST),74290,VEYRIER DU LAC,Satisfaisant, Autres,45.881773,6.178443,1,0,0,0,0,0,0
CARREFOUR (CARREFOUR HYPERMARCHES),78240,CHAMBOURCY,Satisfaisant, Autres,48.905733,2.045865,1,0,0,0,0,0,0
HERBORISTERIE DE LA CHARTREUSE ET DU G,38840,SAINT LATTIER,Très satisfaisant, Autres,45.086209,5.192701,1,0,0,0,0,0,0
LE VALERIEN (SALMI AMAR),92150,SURESNES,Urgent_Améliorer, Autres,48.870506,2.225936,1,0,0,0,0,0,0
SERAC GOURMET (SARL LE SERAC),74170,SAINT GERVAIS LES BAINS,Satisfaisant, Autres,45.892484,6.7114,1,1,0,0,0,0,0
CARREFOUR (CARREFOUR HYPERMARCHES),92230,GENNEVILLIERS,Satisfaisant, Autres,48.925205,2.290787,1,0,0,0,0,0,0
CARREFOUR (CARREFOUR HYPERMARCHES),14000,CAEN,Urgent_Améliorer, Autres,49.21074,-0.364667,1,0,1,0,1,0,0
LESIEUR,92600,ASNIERES SUR SEINE,Satisfaisant, Autres,48.913094,2.305498,1,0,0,0,0,0,0
POISSONNERIE MAILLARD (POISSONNERIE MAILLARD),38510,MORESTEL,Satisfaisant, Autres,45.675663,5.471464,1,0,0,0,0,0,0
MONSIEUR ZAHIR KHARCHI,92320,CHATILLON,Satisfaisant, Autres,48.80724,2.295707,0,0,0,0,0,0,0
HALLES DE SOISY (HALLES DE SOISY),95230,SOISY SOUS MONTMORENCY,Satisfaisant, Autres,48.981616,2.294884,1,1,0,0,0,0,0
LA FRATRIE (LA FRATRIE),92110,CLICHY,Satisfaisant, Autres,48.903639,2.32017,1,0,0,0,1,0,0
FRANKEWITZ TRAITEUR,78990,ELANCOURT,Urgent_Améliorer, Autres,48.786714,1.94746,1,0,0,0,0,0,0
EQUANATIS,80230,SAINT VALERY SUR SOMME,Satisfaisant, Autres,50.185799,1.641399,1,0,0,0,0,0,0
CHAMBOURCY PRESSE (CHEN QINGLIN),78240,CHAMBOURCY,Satisfaisant, Autres,48.905848,2.039342,1,0,0,1,0,0,0
